Categoria,Marca,Modelo,Ano,Preço,Nota Geral,Conforto/Acabamento,Consumo,Custo Benefício,Design,Dirigibilidade,Manutenção,Performance
Picape Compacta,Volkswagen,Saveiro,2021,54370.0,8.0,7.0,8.2,8.2,8.0,7.5,8.5,7.0
Picape Compacta,Chevrolet,Montana,2021,75490.0,8.5,8.5,7.8,9.0,7.8,9.0,9.2,9.2
Picape Compacta,Fiat,Strada,2021,63590.0,8.3,8.5,8.0,8.0,8.5,8.5,8.3,8.7
Picape,Chevrolet,S10 Cabine Dupla,2021,125390.0,8.3,7.8,7.8,7.6,9.5,8.7,7.5,9.0
Picape,Fiat,Toro,2021,99990.0,6.7,6.7,5.6,5.9,8.1,7.5,5.9,7.3
Picape,Toyota,Hilux Cabine Dupla,2020,119940.0,8.1,8.5,8.0,7.6,8.2,8.0,8.1,8.1
Picape,Ford,Ranger (Cabine Dupla),2021,144190.0,8.8,9.0,8.2,8.2,9.5,9.4,7.0,9.4
Picape,Renault,Duster Oroch,2021,66550.0,7.8,7.3,6.9,8.7,7.6,8.2,8.2,7.9
Picape,Mitsubishi,L200 Triton,2021,145990.0,8.5,8.9,8.2,7.9,8.5,9.2,8.0,9.0
Picape,Volkswagen,Amarok,2021,243290.0,9.2,9.4,8.2,8.6,9.8,9.6,8.4,9.6
Picape,Nissan,Frontier,2021,158390.0,9.0,9.7,9.0,9.0,9.3,9.3,8.0,9.7
Picape,Chevrolet,S10 Cabine Simples,2021,158500.0,7.0,6.0,9.0,7.0,6.0,6.0,7.0,6.0
Picape,Toyota,Hilux Cabine Simples,2020,126200.0,8.0,3.0,9.0,9.0,9.0,9.0,6.0,9.0
Suv,Ford,EcoSport,2021,69990.0,8.8,9.0,8.0,8.7,9.1,9.4,8.3,8.9
Suv,Renault,Duster,2021,71790.0,8.9,8.8,7.9,9.6,9.2,9.2,8.9,8.8
Suv,Jeep,Renegade,2021,69999.0,7.9,8.9,6.7,7.5,8.9,8.7,7.1,7.6
Suv,Honda,HR-V,2020,94400.0,8.1,8.2,7.8,7.4,9.1,8.6,8.1,8.1
Suv,Hyundai,Creta,2021,69990.0,8.1,8.7,7.0,8.0,8.2,8.8,8.2,7.7
Suv,Nissan,Kicks,2021,69990.0,8.4,8.0,8.3,8.2,8.8,8.8,8.3,8.1
Suv,Chevrolet,Tracker,2021,82000.0,8.2,8.4,7.9,6.8,8.9,8.5,7.6,8.7
Suv,Volkswagen,T-Cross,2021,91660.0,9.2,8.8,9.1,9.1,9.4,9.6,9.3,9.4
Suv,Peugeot,2008,2021,82990.0,9.2,9.2,8.3,9.5,9.7,9.8,9.2,9.2
Suv,Mitsubishi,ASX,2021,112990.0,7.8,8.5,6.5,7.2,8.9,8.6,6.9,8.5
Suv,Citroën,C4 Cactus,2021,87990.0,8.8,8.5,8.0,9.2,9.4,9.1,8.9,8.8
Suv,Caoa Chery,Tiggo 5X,2021,91990.0,9.4,10.0,7.8,9.5,9.9,9.9,9.0,9.6
Suv,Renault,Captur,2021,69990.0,9.2,8.7,8.8,9.5,9.9,9.5,9.4,8.8
Suv Premium,Honda,CR-V,2019,179900.0,9.0,5.0,10.0,9.0,10.0,10.0,10.0,10.0
Suv Premium,Kia,Sportage,2021,184990.0,8.3,8.7,7.0,7.3,9.3,9.0,8.3,8.0
Suv Premium,Mitsubishi,Outlander,2021,119990.0,9.0,8.7,8.7,9.0,9.3,9.3,8.7,8.3
Suv Premium,Hyundai,Tucson,2021,139900.0,8.2,7.9,8.0,7.9,8.8,8.6,8.0,8.2
Suv Premium,Jeep,Compass,2021,126290.0,6.8,7.6,5.6,6.2,8.2,7.6,6.1,6.4
Suv Premium,Toyota,SW4,2020,161590.0,7.3,8.0,5.7,5.0,9.3,8.0,8.3,6.0
Suv Premium,Volkswagen,Tiguan,2020,132690.0,8.0,7.5,7.2,7.5,8.5,9.0,7.8,7.8
Suv Premium,BMW,X1,2021,221950.0,8.6,8.9,8.4,8.1,9.4,9.0,7.4,8.9
Suv Premium,Kia,Sorento,2020,178990.0,9.5,10.0,9.5,9.5,10.0,10.0,9.5,9.5
Suv Premium,Audi,Q3,2020,179990.0,9.2,9.8,9.2,9.0,9.2,9.8,8.8,9.2
